Brand_Name,Year,Month,Month_Sin,Month_Cos,USD_Rate,Lag_1,Lag_12,Rolling_Mean_3,Issued_Qty
Actos ,2020,1,0.49999999999999994,0.8660254037844387,181.3,0.0,0.0,0.0,132.0
Actos ,2020,2,0.8660254037844386,0.5000000000000001,181.5,132.0,0.0,0.0,187.0
Actos ,2020,3,1.0,6.123233995736766e-17,185.3,187.0,0.0,0.0,147.0
Actos ,2020,4,0.8660254037844387,-0.4999999999999998,192.5,147.0,0.0,155.33333333333334,199.0
Actos ,2020,5,0.49999999999999994,-0.8660254037844387,188.2,199.0,0.0,177.66666666666666,158.0
Actos ,2020,6,1.2246467991473532e-16,-1.0,186.4,158.0,0.0,168.0,170.0
Actos ,2020,7,-0.4999999999999997,-0.8660254037844388,185.9,170.0,0.0,175.66666666666666,179.0
Actos ,2020,8,-0.8660254037844385,-0.5000000000000004,184.2,179.0,0.0,169.0,273.0
Actos ,2020,9,-1.0,-1.8369701987210297e-16,184.8,273.0,0.0,207.33333333333334,189.0
Actos ,2020,10,-0.8660254037844386,0.5000000000000001,184.5,189.0,0.0,213.66666666666666,145.0
Actos ,2020,11,-0.5000000000000004,0.8660254037844384,185.1,145.0,0.0,202.33333333333334,181.0
Actos ,2020,12,-2.4492935982947064e-16,1.0,186.7,181.0,0.0,171.66666666666666,144.0
Actos ,2021,1,0.49999999999999994,0.8660254037844387,190.2,144.0,132.0,156.66666666666666,141.0
Actos ,2021,2,0.8660254037844386,0.5000000000000001,194.5,141.0,187.0,155.33333333333334,177.0
Actos ,2021,3,1.0,6.123233995736766e-17,198.1,177.0,147.0,154.0,161.0
Actos ,2021,4,0.8660254037844387,-0.4999999999999998,201.3,161.0,199.0,159.66666666666666,175.0
Actos ,2021,5,0.49999999999999994,-0.8660254037844387,200.5,175.0,158.0,171.0,176.0
Actos ,2021,6,1.2246467991473532e-16,-1.0,201.8,176.0,170.0,170.66666666666666,192.0
Actos ,2021,7,-0.4999999999999997,-0.8660254037844388,202.4,192.0,179.0,181.0,198.0
Actos ,2021,8,-0.8660254037844385,-0.5000000000000004,203.1,198.0,273.0,188.66666666666666,139.0
Actos ,2021,9,-1.0,-1.8369701987210297e-16,203.5,139.0,189.0,176.33333333333334,202.0
Actos ,2021,10,-0.8660254037844386,0.5000000000000001,203.2,202.0,145.0,179.66666666666666,153.0
Actos ,2021,11,-0.5000000000000004,0.8660254037844384,203.8,153.0,181.0,164.66666666666666,138.0
Actos ,2021,12,-2.4492935982947064e-16,1.0,204.5,138.0,144.0,164.33333333333334,165.0
